Period,Payment Date,Org Total Payment,Total Payment,Interest,Principal,Additional Payment,Org Ending Balance,Ending Balance
123,2025-07-01,915.9879944212272,4377.987994421227,511.2333003708433,404.7546940503839,3462.0,148317.65995928584,0.0
124,2025-08-01,915.9879944212272,4377.987994421227,509.84195611004515,406.14603831118205,3462.0,147911.51392097466,0.0
125,2025-09-01,915.9879944212272,4377.987994421227,508.44582910335043,407.54216531787677,3462.0,147503.9717556568,0.0
126,2025-10-01,915.9879944212272,4377.987994421227,507.0449029100703,408.9430915111569,3462.0,147095.02866414565,0.0
127,2025-11-01,915.9879944212272,4377.987994421227,505.6391610330007,410.3488333882265,3462.0,146684.67983075744,0.0
128,2025-12-01,915.9879944212272,4377.987994421227,504.2285869182287,411.7594075029985,3462.0,146272.92042325443,0.0
129,2026-01-01,915.9879944212272,4377.987994421227,502.8131639549371,413.1748304662901,3462.0,145859.74559278815,0.0
130,2026-02-01,915.9879944212272,4377.987994421227,501.39287547520934,414.59511894601786,3462.0,145445.15047384214,0.0
131,2026-03-01,915.9879944212272,4377.987994421227,499.9677047538324,416.0202896673948,3462.0,145029.13018417475,0.0
132,2026-04-01,915.9879944212272,4377.987994421227,498.5376350081007,417.4503594131265,3462.0,144611.6798247616,0.0
133,2026-05-01,915.9879944212272,4377.987994421227,497.10264939761805,418.88534502360915,3462.0,144192.794479738,0.0
134,2026-06-01,915.9879944212272,4377.987994421227,495.6627310240994,420.3252633971278,3462.0,143772.46921634086,0.0
135,2026-07-01,915.9879944212272,4377.987994421227,494.21786293117174,421.77013149005546,3462.0,143350.6990848508,0.0
136,2026-08-01,915.9879944212272,4377.987994421227,492.7680281041747,423.2199663170525,3462.0,142927.47911853375,0.0
137,2026-09-01,915.9879944212272,4377.987994421227,491.31320946995976,424.67478495126744,3462.0,142502.8043335825,0.0
138,2026-10-01,915.9879944212272,4377.987994421227,489.8533898966898,426.1346045245374,3462.0,142076.66972905796,0.0
139,2026-11-01,915.9879944212272,4377.987994421227,488.38855219363677,427.59944222759043,3462.0,141649.07028683036,0.0
140,2026-12-01,915.9879944212272,4377.987994421227,486.9186791109794,429.0693153102478,3462.0,141220.00097152012,0.0
141,2027-01-01,915.9879944212272,4377.987994421227,485.4437533396004,430.5442410816268,3462.0,140789.45673043848,0.0
142,2027-02-01,915.9879944212272,4377.987994421227,483.9637575108823,432.0242369103449,3462.0,140357.43249352815,0.0
